,com.yaya.mmbang,3.13.0
页面名称,Activity,StartTime,EndTime,TotalTime(ms)
1,启动页面,SplashActivity,2016-05-25 15:48:07.005,2016-05-25 15:48:07.515,510
2,主页面,MainActivity,2016-05-25 15:48:12.075,2016-05-25 15:48:13.225,1150
3,登录页面,ActivityLogin,2016-05-25 15:47:20.045,2016-05-25 15:47:20.295,250
4,推荐关注,RecommendFollowActivity,2016-05-25 15:47:41.785,2016-05-25 15:47:42.175,390
5,他人信息页,PersonalActivity,2016-05-25 15:48:25.505,2016-05-25 15:48:25.735,230
6,消息页面,BangMessageActivity,2016-05-25 15:47:45.365,2016-05-25 15:47:45.475,110
7,发帖页面,CreateTopicInputActivity,2016-05-25 15:48:33.435,2016-05-25 15:48:33.625,190
8,具体帮页面,BangItemListActivity,2016-05-25 15:48:19.265,2016-05-25 15:48:19.435,170
9,帖子详情页,TopicDetailListActivity,2016-05-25 15:48:21.805,2016-05-25 15:48:22.105,300
10,收藏页面,BangItemListActivity,2016-05-25 15:48:19.265,2016-05-25 15:48:19.435,170
11,我的帖子页面,BangItemListActivity,2016-05-25 15:48:19.265,2016-05-25 15:48:19.435,170
12,关注页面,FriendsActivity,2016-05-25 15:48:48.845,2016-05-25 15:48:49.005,160
13,粉丝页面,FriendsActivity,2016-05-25 15:48:48.845,2016-05-25 15:48:49.005,160
14,设置页面,SettingActivity,2016-05-25 15:49:05.765,2016-05-25 15:49:06.005,240
